"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20"
"1" "AAC1" "GO:0016021" "GO:0005739" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"2" "AAC3" "GO:0005739" "GO:0016021" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"3" "AAH1" "GO:0005737" "GO:0005829" "GO:0005634" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"4" "AAP1" "GO:0005737" "GO:0005634" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"5" "AAT2" "GO:0005829" "GO:0005777" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"6" "ABD1" "GO:0005634" "GO:0005829" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"7" "ABF1" "GO:0005634" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"8" "ABF2" "GO:0005739" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"9" "ABP1" "GO:0005938" "GO:0030479" "GO:0005737" "GO:0043332" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"10" "ABP140" "GO:0030479" "GO:0015629" "GO:0043332" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"11" "ACB1" "GO:0005737" "GO:0005634" "GO:0005576" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"12" "ACC1" "GO:0005789" "GO:0005739" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"13" "ACE2" "GO:0005634" "GO:0005829" "GO:0005737" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"14" "ACH1" "GO:0005739" "GO:0005829" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"15" "ACM1" "GO:0005737" "GO:0005634" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"16" "ACO1" "GO:0005739" "GO:0005829" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"17" "ACS1" "GO:0005829" "GO:0016021" "GO:0005739" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"18" "ACS2" "GO:0005829" "GO:0005634" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"19" "ACT1" "GO:0000790" "GO:0015629" "GO:0035267" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"20" "ADA2" "GO:0000123" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"21" "ADD66" "GO:0005829" "GO:0005737" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"22" "ADE1" "GO:0005634" "GO:0005737" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"23" "ADE17" "GO:0005886" "GO:0005829" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"24" "ADE3" "GO:0005634" "GO:0005737" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"25" "ADE8" "GO:0005634" "GO:0005737" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"26" "ADH1" "GO:0005737" "GO:0005886" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"27" "ADH3" "GO:0005739" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
