"Uniprot1" "Gene1" "GeneID1" "Uniprot2" "Gene2" "GeneID2"
"1" "P16649" "TUP1" "850445" "P14922" "CYC8" "852410"
"2" "P22035" "BAS1" "853974" "P07269" "PHO2" "851452"
"3" "P50278" "SOL1" "855769" "P33418" "LOS1" "853630"
"4" "P27705" "MIG1" "852848" "P14922" "CYC8" "852410"
"5" "P05453" "SUP35" "851752" "P05453" "SUP35" "851752"
"6" "P12385" "SUP45" "852440" "P05453" "SUP35" "851752"
"7" "P09624" "LPD1" "850527" "P19262" "KGD2" "851726"
"8" "P19262" "KGD2" "851726" "P20967" "KGD1" "854681"
"9" "P25605" "ILV6" "850348" "P07342" "ILV2" "855135"
"10" "P31688" "TPS2" "851646" "Q00764" "TPS1" "852423"
"11" "Q00764" "TPS1" "852423" "P38426" "TPS3" "855303"
"12" "P38427" "TSL1" "854872" "Q00764" "TPS1" "852423"
"13" "P31688" "TPS2" "851646" "P38426" "TPS3" "855303"
"14" "P31688" "TPS2" "851646" "P38427" "TSL1" "854872"
"15" "P53886" "APC1" "855549" "P09798" "CDC16" "853846"
"16" "P09798" "CDC16" "853846" "P14724" "CDC26" "850597"
"17" "P53886" "APC1" "855549" "P53886" "APC1" "855549"
"18" "P16522" "CDC23" "856571" "P09798" "CDC16" "853846"
"19" "P09798" "CDC16" "853846" "P09798" "CDC16" "853846"
"20" "P38042" "CDC27" "852194" "P09798" "CDC16" "853846"
"21" "P16522" "CDC23" "856571" "P16522" "CDC23" "856571"
"22" "P16522" "CDC23" "856571" "P38042" "CDC27" "852194"
"23" "P38042" "CDC27" "852194" "P38042" "CDC27" "852194"
"24" "P00937" "TRP3" "853669" "P00899" "TRP2" "856824"
"25" "P07258" "CPA1" "854479" "P03965" "CPA2" "853573"
"26" "Q04199" "CAC2" "854869" "P13712" "MSI1" "852494"
"27" "P13712" "MSI1" "852494" "Q12495" "RLF2" "856129"
"28" "Q04199" "CAC2" "854869" "Q12495" "RLF2" "856129"
"29" "P13393" "SPT15" "856891" "P46677" "TAF1" "853191"
"30" "P23255" "TAF2" "850409" "P13393" "SPT15" "856891"
"31" "P38636" "ATX1" "855462" "P38995" "CCC2" "851862"
"32" "P13393" "SPT15" "856891" "P46678" "BDP1" "855689"
"33" "P46678" "BDP1" "855689" "P29056" "BRF1" "853161"
"34" "P29056" "BRF1" "853161" "P13393" "SPT15" "856891"
"35" "P06701" "SIR3" "851163" "P61830" "HHT2" "855700"
"36" "P02309" "HHF1" "855701" "P06701" "SIR3" "851163"
"37" "P61830" "HHT2" "855700" "P11978" "SIR4" "851813"
"38" "P02309" "HHF1" "855701" "P11978" "SIR4" "851813"
"39" "P11978" "SIR4" "851813" "P06701" "SIR3" "851163"
"40" "P11938" "RAP1" "855505" "P06701" "SIR3" "851163"
"41" "P04911" "HTA1" "851811" "P06701" "SIR3" "851163"
"42" "P06701" "SIR3" "851163" "P02293" "HTB1" "851810"
"43" "P06701" "SIR3" "851163" "P06701" "SIR3" "851163"
"44" "P11938" "RAP1" "855505" "P11978" "SIR4" "851813"
"45" "P11978" "SIR4" "851813" "P06700" "SIR2" "851520"
"46" "Q07468" "VAM6" "851482" "P38959" "VPS41" "851653"
"47" "P25296" "CNB1" "853644" "P23287" "CNA1" "851153"
"48" "P25296" "CNB1" "853644" "P14747" "CMP2" "854946"
"49" "P07278" "BCY1" "854778" "P06244" "TPK1" "853275"
"50" "P07278" "BCY1" "854778" "P06245" "TPK2" "855898"
"51" "P07278" "BCY1" "854778" "P05986" "TPK3" "853688"
"52" "P09959" "SWI6" "850879" "P25302" "SWI4" "856847"
"53" "P24869" "CLB2" "856236" "P25302" "SWI4" "856847"
"54" "P09959" "SWI6" "850879" "P29295" "HRR25" "855897"
"55" "P23292" "YCK2" "855568" "P23291" "YCK1" "856537"
"56" "P15790" "CKA1" "854776" "P43639" "CKB1" "852865"
"57" "P19454" "CKA2" "854227" "P43639" "CKB1" "852865"
"58" "P43639" "CKB1" "852865" "P43639" "CKB1" "852865"
"59" "P15790" "CKA1" "854776" "P38930" "CKB2" "854204"
"60" "P38930" "CKB2" "854204" "P19454" "CKA2" "854227"
"61" "P38930" "CKB2" "854204" "P38930" "CKB2" "854204"
"62" "P53378" "TUB4" "850909" "P53540" "SPC98" "855597"
"63" "P53378" "TUB4" "850909" "P38863" "SPC97" "856577"
"64" "P38863" "SPC97" "856577" "P53540" "SPC98" "855597"
"65" "P32380" "SPC110" "851957" "P53540" "SPC98" "855597"
"66" "P38863" "SPC97" "856577" "P32380" "SPC110" "851957"
"67" "P07149" "FAS1" "853653" "P19097" "FAS2" "855845"
"68" "P33304" "AFR1" "851658" "P32468" "CDC12" "856507"
"69" "Q04921" "SPR28" "851804" "Q04921" "SPR28" "851804"
"70" "P32524" "PRP21" "853227" "Q07350" "PRP11" "851518"
"71" "P19736" "PRP9" "851531" "Q07350" "PRP11" "851518"
"72" "P19736" "PRP9" "851531" "P19736" "PRP9" "851531"
"73" "P32524" "PRP21" "853227" "P19736" "PRP9" "851531"
"74" "P06782" "SNF1" "852088" "P38717" "SIP3" "855464"
"75" "P40020" "FIR1" "856754" "P42073" "REF2" "851776"
"76" "P32578" "SIP1" "852032" "P06782" "SNF1" "852088"
"77" "P22543" "VPS34" "850941" "P22219" "VPS15" "852394"
"78" "P11978" "SIR4" "851813" "P11978" "SIR4" "851813"
"79" "P15646" "NOP1" "851548" "P33750" "SOF1" "850649"
"80" "P26309" "CDC20" "852762" "P40957" "MAD1" "852794"
"81" "P40958" "MAD2" "853422" "P26309" "CDC20" "852762"
"82" "P18851" "STE4" "854387" "P18852" "STE18" "853548"
"83" "P18851" "STE4" "854387" "P08539" "GPA1" "856394"
"84" "P40368" "NUP82" "853385" "P14306" "TFS1" "850875"
"85" "P34077" "NIC96" "850552" "P14306" "TFS1" "850875"
"86" "P14306" "TFS1" "850875" "P48837" "NUP57" "853016"
"87" "P14306" "TFS1" "850875" "Q02199" "NUP49" "852703"
"88" "P34087" "RPB7" "852013" "P20433" "RPB4" "853301"
"89" "P32835" "GSP1" "851000" "P41920" "YRB1" "851565"
"90" "Q02821" "SRP1" "855532" "P20676" "NUP1" "854265"
"91" "P32499" "NUP2" "851048" "Q02821" "SRP1" "855532"
"92" "P13902" "INO4" "854042" "P26798" "INO2" "851701"
"93" "P17119" "KAR3" "856263" "Q01649" "CIK1" "855238"
"94" "P12904" "SNF4" "852763" "P06782" "SNF1" "852088"
"95" "P07270" "PHO4" "850594" "P07269" "PHO2" "851452"
"96" "P32380" "SPC110" "851957" "P06787" "CMD1" "852406"
"97" "Q00916" "SNP1" "854749" "P32639" "BRR2" "856919"
"98" "Q99181" "HSH49" "854497" "Q02554" "CUS1" "855281"
"99" "P47093" "LSM8" "853479" "Q99181" "HSH49" "854497"
"100" "P38203" "LSM2" "852255" "P47093" "LSM8" "853479"
"101" "P47093" "LSM8" "853479" "P25644" "PAT1" "850440"
"102" "P39081" "PCF11" "851814" "P47093" "LSM8" "853479"
"103" "P39998" "EDC3" "856700" "P47093" "LSM8" "853479"
"104" "P53147" "TOS8" "852783" "P47093" "LSM8" "853479"
"105" "P38768" "PIH1" "856429" "P47093" "LSM8" "853479"
