""	"rules"	"support"	"confidence"	"lift"
"1"	"{GO:0034987} => {GO:0003823}"	0.0109649122807018	1	76
"2"	"{GO:0003823} => {GO:0034987}"	0.0109649122807018	0.833333333333333	76
"3"	"{GO:0004984} => {GO:0005549}"	0.0153508771929825	1	65.1428571428571
"4"	"{GO:0005549} => {GO:0004984}"	0.0153508771929825	1	65.1428571428571
"5"	"{GO:0008139} => {GO:0008565}"	0.0109649122807018	0.833333333333333	54.2857142857143
"9"	"{GO:0000981} => {GO:0003700}"	0.0109649122807018	0.833333333333333	14.0740740740741
"16"	"{GO:0005515,GO:0043565} => {GO:0003700}"	0.0109649122807018	0.833333333333333	14.0740740740741
"10"	"{GO:0043565} => {GO:0003700}"	0.0197368421052632	0.818181818181818	13.8181818181818
"7"	"{GO:0003684} => {GO:0005515}"	0.0109649122807018	1	2.02666666666667
"12"	"{GO:0019901} => {GO:0005515}"	0.0219298245614035	1	2.02666666666667
"15"	"{GO:0008134} => {GO:0005515}"	0.0197368421052632	0.9	1.824
"11"	"{GO:0042802} => {GO:0005515}"	0.0153508771929825	0.875	1.77333333333333
"6"	"{GO:0008139} => {GO:0005515}"	0.0109649122807018	0.833333333333333	1.68888888888889
"8"	"{GO:0008017} => {GO:0005515}"	0.0109649122807018	0.833333333333333	1.68888888888889
"14"	"{GO:0019899} => {GO:0005515}"	0.0219298245614035	0.833333333333333	1.68888888888889
"13"	"{GO:0046982} => {GO:0005515}"	0.0175438596491228	0.8	1.62133333333333
