	rules	support	confidence	lift
49	{GO:0007130,GO:0070058} => {GO:0051307}	0.00130123617436565	1	768.5
52	{GO:0000070,GO:0007130} => {GO:0051307}	0.00130123617436565	1	768.5
121	{GO:0000070,GO:0007130,GO:0070058} => {GO:0051307}	0.00130123617436565	1	768.5
2	{GO:0043457} => {GO:0000436}	0.00130123617436565	0.8	614.8
4	{GO:0006995} => {GO:0006530}	0.00130123617436565	0.8	614.8
19	{GO:0000128} => {GO:0000501}	0.00130123617436565	0.8	614.8
1	{GO:0000436} => {GO:0043457}	0.00130123617436565	1	614.8
3	{GO:0006530} => {GO:0006995}	0.00130123617436565	1	614.8
18	{GO:0000501} => {GO:0000128}	0.00130123617436565	1	614.8
30	{GO:0051307} => {GO:0007130}	0.00130123617436565	1	512.333333333333
48	{GO:0051307,GO:0070058} => {GO:0007130}	0.00130123617436565	1	512.333333333333
51	{GO:0000070,GO:0051307} => {GO:0007130}	0.00130123617436565	1	512.333333333333
120	{GO:0000070,GO:0051307,GO:0070058} => {GO:0007130}	0.00130123617436565	1	512.333333333333
7	{GO:0035786} => {GO:0015986}	0.00130123617436565	1	439.142857142857
13	{GO:0015696} => {GO:0019740}	0.00162654521795706	1	439.142857142857
26	{GO:0090158} => {GO:0060304}	0.00195185426154847	1	439.142857142857
31	{GO:0051307} => {GO:0070058}	0.00130123617436565	1	439.142857142857
47	{GO:0007130,GO:0051307} => {GO:0070058}	0.00130123617436565	1	439.142857142857
54	{GO:0000070,GO:0051307} => {GO:0070058}	0.00130123617436565	1	439.142857142857
83	{GO:0000070,GO:0007130} => {GO:0070058}	0.00130123617436565	1	439.142857142857
119	{GO:0000070,GO:0007130,GO:0051307} => {GO:0070058}	0.00130123617436565	1	439.142857142857
27	{GO:0060304} => {GO:0090158}	0.00195185426154847	0.857142857142857	439.142857142857
61	{GO:0043162,GO:0045324} => {GO:0070676}	0.00130123617436565	0.8	351.314285714286
86	{GO:0006302,GO:0010467} => {GO:0034398}	0.00130123617436565	0.8	351.314285714286
16	{GO:0051495} => {GO:0008608}	0.00195185426154847	1	341.555555555556
33	{GO:0035621} => {GO:0015918}	0.00130123617436565	1	341.555555555556
56	{GO:0006897,GO:0035621} => {GO:0015918}	0.00130123617436565	1	341.555555555556
59	{GO:0043162,GO:0070676} => {GO:0045324}	0.00130123617436565	1	341.555555555556
63	{GO:0006797,GO:0007034} => {GO:0016237}	0.00130123617436565	1	341.555555555556
66	{GO:0006797,GO:0042144} => {GO:0016237}	0.00130123617436565	1	341.555555555556
75	{GO:0007034,GO:0042144} => {GO:0016237}	0.00130123617436565	1	341.555555555556
89	{GO:0006887,GO:0030011} => {GO:0015918}	0.00227716330513988	1	341.555555555556
92	{GO:0006897,GO:0030011} => {GO:0015918}	0.00227716330513988	1	341.555555555556
99	{GO:0007165,GO:0060237} => {GO:0030242}	0.00130123617436565	1	341.555555555556
124	{GO:0006797,GO:0007034,GO:0042144} => {GO:0016237}	0.00130123617436565	1	341.555555555556
132	{GO:0006887,GO:0006897,GO:0030011} => {GO:0015918}	0.00227716330513988	1	341.555555555556
136	{GO:0006468,GO:0007165,GO:0060237} => {GO:0030242}	0.00130123617436565	1	341.555555555556
64	{GO:0007034,GO:0016237} => {GO:0006797}	0.00130123617436565	1	307.4
70	{GO:0007034,GO:0042144} => {GO:0006797}	0.00130123617436565	1	307.4
125	{GO:0007034,GO:0016237,GO:0042144} => {GO:0006797}	0.00130123617436565	1	307.4
102	{GO:0006468,GO:0060237} => {GO:0030242}	0.00162654521795706	0.833333333333333	284.62962962963
20	{GO:0097033} => {GO:0070131}	0.00130123617436565	1	279.454545454545
77	{GO:0030950,GO:0031929} => {GO:0001558}	0.00130123617436565	1	279.454545454545
79	{GO:0030950,GO:0031505} => {GO:0001558}	0.00162654521795706	1	279.454545454545
109	{GO:0031505,GO:0031929} => {GO:0001558}	0.00195185426154847	1	279.454545454545
128	{GO:0030950,GO:0031505,GO:0031929} => {GO:0001558}	0.00130123617436565	1	279.454545454545
60	{GO:0045324,GO:0070676} => {GO:0043162}	0.00130123617436565	0.8	245.92
67	{GO:0016237,GO:0042144} => {GO:0006797}	0.00130123617436565	0.8	245.92
88	{GO:0006887,GO:0015918} => {GO:0030011}	0.00227716330513988	1	236.461538461538
131	{GO:0006887,GO:0006897,GO:0015918} => {GO:0030011}	0.00227716330513988	1	236.461538461538
28	{GO:1990456} => {GO:0015914}	0.00130123617436565	0.8	223.563636363636
98	{GO:0007165,GO:0030242} => {GO:0060237}	0.00130123617436565	1	219.571428571429
101	{GO:0006468,GO:0030242} => {GO:0060237}	0.00162654521795706	1	219.571428571429
135	{GO:0006468,GO:0007165,GO:0030242} => {GO:0060237}	0.00130123617436565	1	219.571428571429
91	{GO:0006897,GO:0015918} => {GO:0030011}	0.00227716330513988	0.875	206.903846153846
29	{GO:0000743} => {GO:0000742}	0.00130123617436565	0.8	204.933333333333
5	{GO:0010388} => {GO:0000754}	0.00130123617436565	1	204.933333333333
8	{GO:0015893} => {GO:0042493}	0.00130123617436565	1	192.125
9	{GO:0006465} => {GO:0045047}	0.00130123617436565	0.8	189.169230769231
108	{GO:0001558,GO:0031505} => {GO:0031929}	0.00195185426154847	0.857142857142857	188.204081632653
58	{GO:0006897,GO:0045332} => {GO:0006886}	0.00130123617436565	1	180.823529411765
