	rules	support	confidence	lift
14	{GO:0042843} => {GO:0019568}	0.00130123617436565	1	768.5
15	{GO:0019568} => {GO:0042843}	0.00130123617436565	1	768.5
31	{GO:0035948} => {GO:0061414}	0.00130123617436565	1	768.5
32	{GO:0061414} => {GO:0035948}	0.00130123617436565	1	768.5
43	{GO:0006569} => {GO:0006559}	0.00130123617436565	1	768.5
44	{GO:0006559} => {GO:0006569}	0.00130123617436565	1	768.5
45	{GO:0006569} => {GO:0000949}	0.00130123617436565	1	768.5
46	{GO:0000949} => {GO:0006569}	0.00130123617436565	1	768.5
47	{GO:0006559} => {GO:0000949}	0.00130123617436565	1	768.5
48	{GO:0000949} => {GO:0006559}	0.00130123617436565	1	768.5
87	{GO:0010032} => {GO:0051307}	0.00130123617436565	1	768.5
88	{GO:0051307} => {GO:0010032}	0.00130123617436565	1	768.5
240	{GO:0006099,GO:0045333} => {GO:0006121}	0.00130123617436565	1	768.5
242	{GO:0034599,GO:0042843} => {GO:0019568}	0.00130123617436565	1	768.5
243	{GO:0019568,GO:0034599} => {GO:0042843}	0.00130123617436565	1	768.5
251	{GO:0006356,GO:0006974} => {GO:0006359}	0.00130123617436565	1	768.5
254	{GO:0006356,GO:0006468} => {GO:0006359}	0.00130123617436565	1	768.5
258	{GO:0006559,GO:0006569} => {GO:0000949}	0.00130123617436565	1	768.5
259	{GO:0000949,GO:0006569} => {GO:0006559}	0.00130123617436565	1	768.5
260	{GO:0000949,GO:0006559} => {GO:0006569}	0.00130123617436565	1	768.5
294	{GO:0000710,GO:0006312} => {GO:0000735}	0.00130123617436565	1	768.5
299	{GO:0010032,GO:0070058} => {GO:0051307}	0.00130123617436565	1	768.5
300	{GO:0051307,GO:0070058} => {GO:0010032}	0.00130123617436565	1	768.5
302	{GO:0007076,GO:0010032} => {GO:0051307}	0.00130123617436565	1	768.5
303	{GO:0007076,GO:0051307} => {GO:0010032}	0.00130123617436565	1	768.5
305	{GO:0007130,GO:0010032} => {GO:0051307}	0.00130123617436565	1	768.5
306	{GO:0007130,GO:0051307} => {GO:0010032}	0.00130123617436565	1	768.5
308	{GO:0000070,GO:0010032} => {GO:0051307}	0.00130123617436565	1	768.5
309	{GO:0000070,GO:0051307} => {GO:0010032}	0.00130123617436565	1	768.5
314	{GO:0007130,GO:0070058} => {GO:0010032}	0.00130123617436565	1	768.5
320	{GO:0007076,GO:0007130} => {GO:0010032}	0.00130123617436565	1	768.5
326	{GO:0000070,GO:0007130} => {GO:0010032}	0.00130123617436565	1	768.5
331	{GO:0007130,GO:0070058} => {GO:0051307}	0.00130123617436565	1	768.5
337	{GO:0007076,GO:0007130} => {GO:0051307}	0.00130123617436565	1	768.5
343	{GO:0000070,GO:0007130} => {GO:0051307}	0.00130123617436565	1	768.5
728	{GO:0031124,GO:2001173} => {GO:2001165}	0.00130123617436565	1	768.5
736	{GO:0031124,GO:0090262} => {GO:2001165}	0.00130123617436565	1	768.5
742	{GO:0031124,GO:2001209} => {GO:2001165}	0.00130123617436565	1	768.5
1303	{GO:0006356,GO:0006468,GO:0006974} => {GO:0006359}	0.00130123617436565	1	768.5
1312	{GO:0007076,GO:0010032,GO:0070058} => {GO:0051307}	0.00130123617436565	1	768.5
1313	{GO:0007076,GO:0051307,GO:0070058} => {GO:0010032}	0.00130123617436565	1	768.5
1316	{GO:0007130,GO:0010032,GO:0070058} => {GO:0051307}	0.00130123617436565	1	768.5
1317	{GO:0007130,GO:0051307,GO:0070058} => {GO:0010032}	0.00130123617436565	1	768.5
1320	{GO:0000070,GO:0010032,GO:0070058} => {GO:0051307}	0.00130123617436565	1	768.5
1321	{GO:0000070,GO:0051307,GO:0070058} => {GO:0010032}	0.00130123617436565	1	768.5
1324	{GO:0007076,GO:0007130,GO:0010032} => {GO:0051307}	0.00130123617436565	1	768.5
1325	{GO:0007076,GO:0007130,GO:0051307} => {GO:0010032}	0.00130123617436565	1	768.5
1328	{GO:0000070,GO:0007076,GO:0010032} => {GO:0051307}	0.00130123617436565	1	768.5
1329	{GO:0000070,GO:0007076,GO:0051307} => {GO:0010032}	0.00130123617436565	1	768.5
1332	{GO:0000070,GO:0007130,GO:0010032} => {GO:0051307}	0.00130123617436565	1	768.5
1333	{GO:0000070,GO:0007130,GO:0051307} => {GO:0010032}	0.00130123617436565	1	768.5
1337	{GO:0007076,GO:0007130,GO:0070058} => {GO:0010032}	0.00130123617436565	1	768.5
1345	{GO:0000070,GO:0007130,GO:0070058} => {GO:0010032}	0.00130123617436565	1	768.5
1349	{GO:0000070,GO:0007076,GO:0007130} => {GO:0010032}	0.00130123617436565	1	768.5
1353	{GO:0007076,GO:0007130,GO:0070058} => {GO:0051307}	0.00130123617436565	1	768.5
1361	{GO:0000070,GO:0007130,GO:0070058} => {GO:0051307}	0.00130123617436565	1	768.5
1365	{GO:0000070,GO:0007076,GO:0007130} => {GO:0051307}	0.00130123617436565	1	768.5
1900	{GO:0031124,GO:0090262,GO:2001173} => {GO:2001165}	0.00130123617436565	1	768.5
1908	{GO:0031124,GO:2001173,GO:2001209} => {GO:2001165}	0.00130123617436565	1	768.5
1916	{GO:0006368,GO:0031124,GO:2001173} => {GO:2001165}	0.00130123617436565	1	768.5
1920	{GO:0031124,GO:0090262,GO:2001209} => {GO:2001165}	0.00130123617436565	1	768.5
1928	{GO:0006368,GO:0031124,GO:0090262} => {GO:2001165}	0.00130123617436565	1	768.5
1932	{GO:0006368,GO:0031124,GO:2001209} => {GO:2001165}	0.00130123617436565	1	768.5
2777	{GO:0007076,GO:0007130,GO:0010032,GO:0070058} => {GO:0051307}	0.00130123617436565	1	768.5
2778	{GO:0007076,GO:0007130,GO:0051307,GO:0070058} => {GO:0010032}	0.00130123617436565	1	768.5
2782	{GO:0000070,GO:0007076,GO:0010032,GO:0070058} => {GO:0051307}	0.00130123617436565	1	768.5
2783	{GO:0000070,GO:0007076,GO:0051307,GO:0070058} => {GO:0010032}	0.00130123617436565	1	768.5
2787	{GO:0000070,GO:0007130,GO:0010032,GO:0070058} => {GO:0051307}	0.00130123617436565	1	768.5
2788	{GO:0000070,GO:0007130,GO:0051307,GO:0070058} => {GO:0010032}	0.00130123617436565	1	768.5
2792	{GO:0000070,GO:0007076,GO:0007130,GO:0010032} => {GO:0051307}	0.00130123617436565	1	768.5
2793	{GO:0000070,GO:0007076,GO:0007130,GO:0051307} => {GO:0010032}	0.00130123617436565	1	768.5
2798	{GO:0000070,GO:0007076,GO:0007130,GO:0070058} => {GO:0010032}	0.00130123617436565	1	768.5
