	rules	support	confidence	lift
4	{GO:0034456} => {GO:0005956}	0.00108459869848156	1	922
5	{GO:0005956} => {GO:0034456}	0.00108459869848156	1	922
15	{GO:0000439} => {GO:0000112}	0.00108459869848156	1	922
16	{GO:0000112} => {GO:0000439}	0.00108459869848156	1	922
108	{GO:0000439,GO:0005675} => {GO:0000112}	0.00108459869848156	1	922
109	{GO:0000112,GO:0005675} => {GO:0000439}	0.00108459869848156	1	922
135	{GO:0031389,GO:0031390} => {GO:0005663}	0.00108459869848156	1	922
138	{GO:0031389,GO:0031391} => {GO:0005663}	0.00108459869848156	1	922
141	{GO:0031390,GO:0031391} => {GO:0005663}	0.00108459869848156	1	922
282	{GO:0031389,GO:0031390,GO:0031391} => {GO:0005663}	0.00108459869848156	1	922
60	{GO:0005663} => {GO:0031389}	0.00108459869848156	1	737.6
61	{GO:0031389} => {GO:0005663}	0.00108459869848156	0.8	737.6
62	{GO:0005663} => {GO:0031390}	0.00108459869848156	1	737.6
63	{GO:0031390} => {GO:0005663}	0.00108459869848156	0.8	737.6
64	{GO:0005663} => {GO:0031391}	0.00108459869848156	1	737.6
65	{GO:0031391} => {GO:0005663}	0.00108459869848156	0.8	737.6
117	{GO:0005869,GO:0005938} => {GO:0000235}	0.00108459869848156	1	737.6
118	{GO:0000235,GO:0005938} => {GO:0005869}	0.00108459869848156	1	737.6
120	{GO:0005816,GO:0005869} => {GO:0000235}	0.00108459869848156	1	737.6
133	{GO:0005663,GO:0031389} => {GO:0031390}	0.00108459869848156	1	737.6
134	{GO:0005663,GO:0031390} => {GO:0031389}	0.00108459869848156	1	737.6
136	{GO:0005663,GO:0031389} => {GO:0031391}	0.00108459869848156	1	737.6
137	{GO:0005663,GO:0031391} => {GO:0031389}	0.00108459869848156	1	737.6
139	{GO:0005663,GO:0031390} => {GO:0031391}	0.00108459869848156	1	737.6
140	{GO:0005663,GO:0031391} => {GO:0031390}	0.00108459869848156	1	737.6
146	{GO:0031389,GO:0031390} => {GO:0031391}	0.00108459869848156	1	737.6
147	{GO:0031389,GO:0031391} => {GO:0031390}	0.00108459869848156	1	737.6
148	{GO:0031390,GO:0031391} => {GO:0031389}	0.00108459869848156	1	737.6
277	{GO:0005816,GO:0005869,GO:0005938} => {GO:0000235}	0.00108459869848156	1	737.6
278	{GO:0000235,GO:0005816,GO:0005938} => {GO:0005869}	0.00108459869848156	1	737.6
279	{GO:0005663,GO:0031389,GO:0031390} => {GO:0031391}	0.00108459869848156	1	737.6
280	{GO:0005663,GO:0031389,GO:0031391} => {GO:0031390}	0.00108459869848156	1	737.6
281	{GO:0005663,GO:0031390,GO:0031391} => {GO:0031389}	0.00108459869848156	1	737.6
17	{GO:0000439} => {GO:0005675}	0.00108459869848156	1	614.666666666667
18	{GO:0000112} => {GO:0005675}	0.00108459869848156	1	614.666666666667
25	{GO:0097196} => {GO:0035861}	0.00108459869848156	1	614.666666666667
107	{GO:0000112,GO:0000439} => {GO:0005675}	0.00108459869848156	1	614.666666666667
130	{GO:1990071,GO:1990072} => {GO:1990070}	0.00162689804772234	1	614.666666666667
35	{GO:1990467} => {GO:1990468}	0.00108459869848156	0.8	590.08
36	{GO:1990468} => {GO:1990467}	0.00108459869848156	0.8	590.08
45	{GO:0005869} => {GO:0000235}	0.00108459869848156	0.8	590.08
46	{GO:0000235} => {GO:0005869}	0.00108459869848156	0.8	590.08
71	{GO:0031389} => {GO:0031390}	0.00108459869848156	0.8	590.08
72	{GO:0031390} => {GO:0031389}	0.00108459869848156	0.8	590.08
73	{GO:0031389} => {GO:0031391}	0.00108459869848156	0.8	590.08
74	{GO:0031391} => {GO:0031389}	0.00108459869848156	0.8	590.08
76	{GO:0031390} => {GO:0031391}	0.00108459869848156	0.8	590.08
77	{GO:0031391} => {GO:0031390}	0.00108459869848156	0.8	590.08
121	{GO:0000235,GO:0005816} => {GO:0005869}	0.00108459869848156	0.8	590.08
21	{GO:0005851} => {GO:0032045}	0.00135574837310195	1	526.857142857143
55	{GO:1990070} => {GO:1990072}	0.00162689804772234	1	526.857142857143
129	{GO:1990070,GO:1990071} => {GO:1990072}	0.00162689804772234	1	526.857142857143
157	{GO:0005789,GO:0034515} => {GO:0019774}	0.00189804772234273	1	526.857142857143
174	{GO:0034515,GO:0042175} => {GO:0019773}	0.00189804772234273	1	526.857142857143
286	{GO:0005634,GO:0005789,GO:0034515} => {GO:0019774}	0.00189804772234273	1	526.857142857143
293	{GO:0005634,GO:0034515,GO:0042175} => {GO:0019773}	0.00189804772234273	1	526.857142857143
296	{GO:0005737,GO:0034515,GO:0042175} => {GO:0019773}	0.00135574837310195	1	526.857142857143
418	{GO:0005634,GO:0005737,GO:0034515,GO:0042175} => {GO:0019773}	0.00135574837310195	1	526.857142857143
56	{GO:1990072} => {GO:1990070}	0.00162689804772234	0.857142857142857	526.857142857143
26	{GO:0031262} => {GO:0000780}	0.00108459869848156	0.8	491.733333333333
41	{GO:0033263} => {GO:0030897}	0.00108459869848156	0.8	491.733333333333
145	{GO:0005829,GO:0033290} => {GO:0016282}	0.00108459869848156	1	461
177	{GO:0005634,GO:0042175} => {GO:0019773}	0.00189804772234273	0.875	461
182	{GO:0005737,GO:0034515} => {GO:0019773}	0.00135574837310195	0.833333333333333	439.047619047619
299	{GO:0005634,GO:0005737,GO:0042175} => {GO:0019773}	0.00135574837310195	0.833333333333333	439.047619047619
302	{GO:0005634,GO:0005737,GO:0034515} => {GO:0019773}	0.00135574837310195	0.833333333333333	439.047619047619
83	{GO:0031931} => {GO:0031234}	0.00108459869848156	0.8	421.485714285714
3	{GO:0005655} => {GO:0000172}	0.00108459869848156	1	409.777777777778
22	{GO:0005868} => {GO:0005881}	0.00108459869848156	1	409.777777777778
57	{GO:1990070} => {GO:1990071}	0.00162689804772234	1	368.8
128	{GO:1990070,GO:1990072} => {GO:1990071}	0.00162689804772234	1	368.8
144	{GO:0005829,GO:0016282} => {GO:0033290}	0.00108459869848156	1	368.8
82	{GO:1990072} => {GO:1990071}	0.00162689804772234	0.857142857142857	316.114285714286
52	{GO:0005852} => {GO:0043614}	0.00135574837310195	0.833333333333333	307.333333333333
27	{GO:1990415} => {GO:0005778}	0.00108459869848156	1	307.333333333333
186	{GO:0046540,GO:0071004} => {GO:0005682}	0.00108459869848156	1	307.333333333333
188	{GO:0005685,GO:0046540} => {GO:0005682}	0.00162689804772234	1	307.333333333333
305	{GO:0005685,GO:0046540,GO:0071004} => {GO:0005682}	0.00108459869848156	1	307.333333333333
29	{GO:0000176} => {GO:0000177}	0.00135574837310195	0.833333333333333	279.393939393939
99	{GO:0000837} => {GO:0000839}	0.00189804772234273	0.875	268.916666666667
184	{GO:0005682,GO:0071004} => {GO:0005685}	0.00108459869848156	1	263.428571428571
189	{GO:0046540,GO:0071004} => {GO:0005685}	0.00108459869848156	1	263.428571428571
304	{GO:0005682,GO:0046540,GO:0071004} => {GO:0005685}	0.00108459869848156	1	263.428571428571
7	{GO:0005664} => {GO:0044451}	0.00135574837310195	1	245.866666666667
43	{GO:0005686} => {GO:0071004}	0.00189804772234273	0.875	230.5
