	rules	support	confidence	lift
3	{GO:0004865} => {GO:0071862}	0.00132450331125828	1	755
4	{GO:0071862} => {GO:0004865}	0.00132450331125828	1	755
14	{GO:0004643} => {GO:0003937}	0.00132450331125828	1	755
15	{GO:0003937} => {GO:0004643}	0.00132450331125828	1	755
16	{GO:0016880} => {GO:0003987}	0.00132450331125828	1	755
17	{GO:0003987} => {GO:0016880}	0.00132450331125828	1	755
33	{GO:0032794} => {GO:0004862}	0.00132450331125828	1	755
34	{GO:0004862} => {GO:0032794}	0.00132450331125828	1	755
45	{GO:0051879} => {GO:0030544}	0.00132450331125828	1	755
46	{GO:0030544} => {GO:0051879}	0.00132450331125828	1	755
47	{GO:0003825} => {GO:0004805}	0.00132450331125828	1	755
48	{GO:0004805} => {GO:0003825}	0.00132450331125828	1	755
54	{GO:0005355} => {GO:0004872}	0.00132450331125828	1	755
55	{GO:0004872} => {GO:0005355}	0.00132450331125828	1	755
58	{GO:0004488} => {GO:0004477}	0.00132450331125828	1	755
59	{GO:0004477} => {GO:0004488}	0.00132450331125828	1	755
60	{GO:0004488} => {GO:0004329}	0.00132450331125828	1	755
61	{GO:0004329} => {GO:0004488}	0.00132450331125828	1	755
62	{GO:0004477} => {GO:0004329}	0.00132450331125828	1	755
63	{GO:0004329} => {GO:0004477}	0.00132450331125828	1	755
68	{GO:0008242} => {GO:0003840}	0.00132450331125828	1	755
69	{GO:0003840} => {GO:0008242}	0.00132450331125828	1	755
121	{GO:0001786,GO:1901981} => {GO:0017112}	0.00132450331125828	1	755
123	{GO:0004871,GO:0032794} => {GO:0004862}	0.00132450331125828	1	755
124	{GO:0004862,GO:0004871} => {GO:0032794}	0.00132450331125828	1	755
127	{GO:0005363,GO:0015151} => {GO:0015144}	0.00132450331125828	1	755
131	{GO:0003825,GO:0030234} => {GO:0004805}	0.00132450331125828	1	755
132	{GO:0004805,GO:0030234} => {GO:0003825}	0.00132450331125828	1	755
135	{GO:0001187,GO:0017025} => {GO:0001164}	0.00132450331125828	1	755
137	{GO:0005355,GO:0005536} => {GO:0004872}	0.00132450331125828	1	755
138	{GO:0004872,GO:0005536} => {GO:0005355}	0.00132450331125828	1	755
139	{GO:0004477,GO:0004488} => {GO:0004329}	0.00132450331125828	1	755
140	{GO:0004329,GO:0004488} => {GO:0004477}	0.00132450331125828	1	755
141	{GO:0004329,GO:0004477} => {GO:0004488}	0.00132450331125828	1	755
143	{GO:0008233,GO:0008242} => {GO:0003840}	0.00132450331125828	1	755
144	{GO:0003840,GO:0008233} => {GO:0008242}	0.00132450331125828	1	755
151	{GO:0004871,GO:0031683} => {GO:0001664}	0.00132450331125828	1	755
154	{GO:0003924,GO:0031683} => {GO:0001664}	0.00132450331125828	1	755
159	{GO:0003727,GO:0031369} => {GO:0003968}	0.00132450331125828	1	755
162	{GO:0003697,GO:0003727} => {GO:0003968}	0.00132450331125828	1	755
165	{GO:0003697,GO:0031369} => {GO:0003968}	0.00132450331125828	1	755
181	{GO:0003682,GO:1990269} => {GO:0001089}	0.00132450331125828	1	755
186	{GO:0000993,GO:0003682} => {GO:0001089}	0.00132450331125828	1	755
189	{GO:0001076,GO:0003682} => {GO:0001089}	0.00132450331125828	1	755
307	{GO:0003924,GO:0004871,GO:0031683} => {GO:0001664}	0.00132450331125828	1	755
311	{GO:0003697,GO:0003727,GO:0031369} => {GO:0003968}	0.00132450331125828	1	755
318	{GO:0000993,GO:0003682,GO:1990269} => {GO:0001089}	0.00132450331125828	1	755
322	{GO:0001076,GO:0003682,GO:1990269} => {GO:0001089}	0.00132450331125828	1	755
326	{GO:0000993,GO:0001076,GO:0003682} => {GO:0001089}	0.00132450331125828	1	755
376	{GO:0000993,GO:0001076,GO:0003682,GO:1990269} => {GO:0001089}	0.00132450331125828	1	755
2	{GO:0008081} => {GO:0004536}	0.00132450331125828	1	503.333333333333
5	{GO:0004864} => {GO:0004633}	0.00132450331125828	1	503.333333333333
11	{GO:0001165} => {GO:0001168}	0.00132450331125828	1	503.333333333333
40	{GO:0015144} => {GO:0015151}	0.00132450331125828	1	503.333333333333
41	{GO:0015144} => {GO:0005363}	0.00132450331125828	1	503.333333333333
43	{GO:0016209} => {GO:0004784}	0.00132450331125828	1	503.333333333333
51	{GO:0001164} => {GO:0001187}	0.00132450331125828	1	503.333333333333
56	{GO:0005355} => {GO:0005536}	0.00132450331125828	1	503.333333333333
57	{GO:0004872} => {GO:0005536}	0.00132450331125828	1	503.333333333333
74	{GO:0001664} => {GO:0031683}	0.00132450331125828	1	503.333333333333
77	{GO:0004652} => {GO:0034459}	0.00132450331125828	1	503.333333333333
78	{GO:0003968} => {GO:0003727}	0.00132450331125828	1	503.333333333333
125	{GO:0015144,GO:0015151} => {GO:0005363}	0.00132450331125828	1	503.333333333333
126	{GO:0005363,GO:0015144} => {GO:0015151}	0.00132450331125828	1	503.333333333333
129	{GO:0016209,GO:0046914} => {GO:0004784}	0.00132450331125828	1	503.333333333333
134	{GO:0001164,GO:0017025} => {GO:0001187}	0.00132450331125828	1	503.333333333333
136	{GO:0004872,GO:0005355} => {GO:0005536}	0.00132450331125828	1	503.333333333333
148	{GO:0004602,GO:0015036} => {GO:0004364}	0.00132450331125828	1	503.333333333333
150	{GO:0001664,GO:0004871} => {GO:0031683}	0.00132450331125828	1	503.333333333333
153	{GO:0001664,GO:0003924} => {GO:0031683}	0.00132450331125828	1	503.333333333333
158	{GO:0003968,GO:0031369} => {GO:0003727}	0.00132450331125828	1	503.333333333333
161	{GO:0003697,GO:0003968} => {GO:0003727}	0.00132450331125828	1	503.333333333333
174	{GO:0003697,GO:0031369} => {GO:0003727}	0.00132450331125828	1	503.333333333333
198	{GO:0001047,GO:0070577} => {GO:0001094}	0.00132450331125828	1	503.333333333333
306	{GO:0001664,GO:0003924,GO:0004871} => {GO:0031683}	0.00132450331125828	1	503.333333333333
310	{GO:0003697,GO:0003968,GO:0031369} => {GO:0003727}	0.00132450331125828	1	503.333333333333
20	{GO:0000009} => {GO:0016757}	0.00132450331125828	1	377.5
26	{GO:0010997} => {GO:0097027}	0.00132450331125828	1	377.5
31	{GO:0017112} => {GO:0001786}	0.00132450331125828	1	377.5
82	{GO:0005527} => {GO:0005528}	0.00198675496688742	1	377.5
120	{GO:0017112,GO:1901981} => {GO:0001786}	0.00132450331125828	1	377.5
167	{GO:0003755,GO:0005527} => {GO:0005528}	0.00198675496688742	1	377.5
197	{GO:0001094,GO:0070577} => {GO:0001047}	0.00132450331125828	1	377.5
208	{GO:0000991,GO:0001135} => {GO:0001129}	0.00132450331125828	1	377.5
215	{GO:0001132,GO:0003713} => {GO:0001047}	0.00132450331125828	1	377.5
216	{GO:0001047,GO:0003713} => {GO:0001132}	0.00132450331125828	1	377.5
218	{GO:0001132,GO:0003714} => {GO:0001047}	0.00132450331125828	1	377.5
219	{GO:0001047,GO:0003714} => {GO:0001132}	0.00132450331125828	1	377.5
221	{GO:0001132,GO:0003682} => {GO:0001047}	0.00132450331125828	1	377.5
228	{GO:0003682,GO:0003714} => {GO:0001132}	0.00132450331125828	1	377.5
233	{GO:0003682,GO:0003714} => {GO:0001047}	0.00132450331125828	1	377.5
338	{GO:0001132,GO:0003713,GO:0003714} => {GO:0001047}	0.00132450331125828	1	377.5
339	{GO:0001047,GO:0003713,GO:0003714} => {GO:0001132}	0.00132450331125828	1	377.5
