""	"rules"	"support"	"confidence"	"lift"
"2"	"{GO:0004601} => {GO:0020037}"	0.0172413793103448	1	58
"3"	"{GO:0020037} => {GO:0004601}"	0.0172413793103448	1	58
"6"	"{GO:0017137} => {GO:0005096}"	0.0172413793103448	1	58
"7"	"{GO:0005096} => {GO:0017137}"	0.0172413793103448	1	58
"9"	"{GO:0016798} => {GO:0019213}"	0.0172413793103448	1	58
"10"	"{GO:0019213} => {GO:0016798}"	0.0172413793103448	1	58
"14"	"{GO:0016857} => {GO:0042806}"	0.0172413793103448	1	58
"15"	"{GO:0042806} => {GO:0016857}"	0.0172413793103448	1	58
"19"	"{GO:0001228} => {GO:0000977}"	0.0172413793103448	1	58
"20"	"{GO:0000977} => {GO:0001228}"	0.0172413793103448	1	58
"21"	"{GO:0005507} => {GO:0016715}"	0.0172413793103448	1	58
"22"	"{GO:0016715} => {GO:0005507}"	0.0172413793103448	1	58
"28"	"{GO:0017056} => {GO:0005487}"	0.0172413793103448	1	58
"29"	"{GO:0005487} => {GO:0017056}"	0.0172413793103448	1	58
"30"	"{GO:0017056} => {GO:0008139}"	0.0172413793103448	1	58
"31"	"{GO:0008139} => {GO:0017056}"	0.0172413793103448	1	58
"34"	"{GO:0015204} => {GO:0015250}"	0.0172413793103448	1	58
"35"	"{GO:0015250} => {GO:0015204}"	0.0172413793103448	1	58
"36"	"{GO:0015204} => {GO:0015254}"	0.0172413793103448	1	58
"37"	"{GO:0015254} => {GO:0015204}"	0.0172413793103448	1	58
"38"	"{GO:0015250} => {GO:0015254}"	0.0172413793103448	1	58
"39"	"{GO:0015254} => {GO:0015250}"	0.0172413793103448	1	58
"40"	"{GO:0004843} => {GO:0061578}"	0.0172413793103448	1	58
"41"	"{GO:0061578} => {GO:0004843}"	0.0172413793103448	1	58
"42"	"{GO:0004843} => {GO:1990380}"	0.0172413793103448	1	58
"43"	"{GO:1990380} => {GO:0004843}"	0.0172413793103448	1	58
"44"	"{GO:0061578} => {GO:1990380}"	0.0172413793103448	1	58
"45"	"{GO:1990380} => {GO:0061578}"	0.0172413793103448	1	58
"46"	"{GO:0004872} => {GO:0005542}"	0.0172413793103448	1	58
"47"	"{GO:0005542} => {GO:0004872}"	0.0172413793103448	1	58
"52"	"{GO:0008270} => {GO:0042277}"	0.0172413793103448	1	58
"53"	"{GO:0042277} => {GO:0008270}"	0.0172413793103448	1	58
"54"	"{GO:0008270} => {GO:0070006}"	0.0172413793103448	1	58
"55"	"{GO:0070006} => {GO:0008270}"	0.0172413793103448	1	58
"56"	"{GO:0042277} => {GO:0070006}"	0.0172413793103448	1	58
"57"	"{GO:0070006} => {GO:0042277}"	0.0172413793103448	1	58
"58"	"{GO:0005487} => {GO:0008139}"	0.0172413793103448	1	58
"59"	"{GO:0008139} => {GO:0005487}"	0.0172413793103448	1	58
"60"	"{GO:0042802} => {GO:0034618}"	0.0172413793103448	1	58
"61"	"{GO:0034618} => {GO:0042802}"	0.0172413793103448	1	58
"64"	"{GO:0001047} => {GO:0010485}"	0.0172413793103448	1	58
"65"	"{GO:0010485} => {GO:0001047}"	0.0172413793103448	1	58
"66"	"{GO:0001047} => {GO:0035035}"	0.0172413793103448	1	58
"67"	"{GO:0035035} => {GO:0001047}"	0.0172413793103448	1	58
"68"	"{GO:0010485} => {GO:0035035}"	0.0172413793103448	1	58
"69"	"{GO:0035035} => {GO:0010485}"	0.0172413793103448	1	58
"72"	"{GO:0030276} => {GO:0019905}"	0.0172413793103448	1	58
"73"	"{GO:0019905} => {GO:0030276}"	0.0172413793103448	1	58
"78"	"{GO:0001078} => {GO:0003700}"	0.0172413793103448	1	58
"79"	"{GO:0003700} => {GO:0001078}"	0.0172413793103448	1	58
"80"	"{GO:0001078} => {GO:0044212}"	0.0172413793103448	1	58
"81"	"{GO:0044212} => {GO:0001078}"	0.0172413793103448	1	58
"83"	"{GO:0003700} => {GO:0044212}"	0.0172413793103448	1	58
"84"	"{GO:0044212} => {GO:0003700}"	0.0172413793103448	1	58
"87"	"{GO:0042169} => {GO:1901981}"	0.0172413793103448	1	58
"88"	"{GO:1901981} => {GO:0042169}"	0.0172413793103448	1	58
"96"	"{GO:0000049} => {GO:0005506}"	0.0172413793103448	1	58
"97"	"{GO:0005506} => {GO:0000049}"	0.0172413793103448	1	58
"98"	"{GO:0000049} => {GO:0016706}"	0.0172413793103448	1	58
"99"	"{GO:0016706} => {GO:0000049}"	0.0172413793103448	1	58
"100"	"{GO:0000049} => {GO:0042803}"	0.0172413793103448	1	58
"101"	"{GO:0042803} => {GO:0000049}"	0.0172413793103448	1	58
"102"	"{GO:0005506} => {GO:0016706}"	0.0172413793103448	1	58
"103"	"{GO:0016706} => {GO:0005506}"	0.0172413793103448	1	58
"104"	"{GO:0005506} => {GO:0042803}"	0.0172413793103448	1	58
"105"	"{GO:0042803} => {GO:0005506}"	0.0172413793103448	1	58
"106"	"{GO:0016706} => {GO:0042803}"	0.0172413793103448	1	58
"107"	"{GO:0042803} => {GO:0016706}"	0.0172413793103448	1	58
"108"	"{GO:0004993} => {GO:0005231}"	0.0172413793103448	1	58
"109"	"{GO:0005231} => {GO:0004993}"	0.0172413793103448	1	58
"110"	"{GO:0004993} => {GO:0015464}"	0.0172413793103448	1	58
"111"	"{GO:0015464} => {GO:0004993}"	0.0172413793103448	1	58
"112"	"{GO:0004993} => {GO:0042166}"	0.0172413793103448	1	58
"113"	"{GO:0042166} => {GO:0004993}"	0.0172413793103448	1	58
"114"	"{GO:0005231} => {GO:0015464}"	0.0172413793103448	1	58
"115"	"{GO:0015464} => {GO:0005231}"	0.0172413793103448	1	58
"116"	"{GO:0005231} => {GO:0042166}"	0.0172413793103448	1	58
"117"	"{GO:0042166} => {GO:0005231}"	0.0172413793103448	1	58
"118"	"{GO:0015464} => {GO:0042166}"	0.0172413793103448	1	58
"119"	"{GO:0042166} => {GO:0015464}"	0.0172413793103448	1	58
